gene	GSM4237826	GSM4237827	GSM4237828	GSM4237829	GSM4237830	GSM4237831	GSM4237832	GSM4237833	GSM4237834	GSM4237835	GSM4237836	GSM4237837
TNFRSF11A	7.425	6.198	7.035	7.492	7.397	7.668	6.773	6.145	6.487	6.899	7.756	6.537
TNFRSF11B	7.344	7.374	7.339	11.351	6.606	8.660	6.944	4.830	7.718	6.923	5.772	7.035
TNFRSF14	9.208	9.306	9.099	7.309	8.217	10.199	8.839	8.362	8.879	8.375	7.676	7.897
TNFRSF17	3.657	4.013	3.312	2.100	3.982	5.149	3.390	3.058	2.217	2.589	3.187	2.962
TNFRSF18	4.242	3.361	2.990	4.422	4.567	5.412	3.913	3.643	3.933	4.004	3.313	3.901
TNFRSF1A	11.035	11.000	11.478	11.167	10.149	11.610	11.164	9.827	11.482	10.777	10.651	10.455
TNFRSF1B	9.204	8.131	7.238	8.585	7.397	10.475	8.977	8.024	8.298	8.292	7.335	8.305
TNFRSF25	8.465	7.694	8.115	7.732	8.386	8.701	7.808	6.663	8.207	8.377	7.298	7.611
TNFRSF4	5.181	3.876	3.575	4.363	4.567	5.412	3.477	3.380	2.410	2.811	2.050	3.962
TNFRSF8	5.979	3.554	4.745	5.063	4.856	6.599	2.712	2.795	2.580	3.759	3.050	3.077
TNFRSF9	4.117	4.013	3.798	3.478	4.397	6.371	4.197	3.795	2.869	2.911	3.535	3.184
TNFSF10	8.640	6.641	7.649	7.755	7.230	10.845	8.087	8.512	8.340	7.009	7.298	6.708
TNFSF12	9.707	9.476	9.372	8.935	9.224	10.422	9.573	8.934	9.504	9.362	9.210	9.049
TNFSF13	8.797	8.683	8.308	7.579	7.755	10.821	8.023	6.997	8.006	8.102	8.027	7.042
TNFSF13B	7.165	6.683	6.772	7.478	6.397	7.392	7.235	5.981	6.600	7.422	6.252	6.210
TNFSF18	6.540	4.802	5.873	6.392	5.204	6.765	6.975	5.028	4.410	5.396	4.252	7.139
TNFSF4	7.149	6.783	6.848	6.648	6.682	7.668	6.990	6.682	6.802	6.940	5.857	7.105
TNFSF8	6.867	5.802	5.823	5.968	5.982	8.668	6.619	5.088	5.387	5.662	6.220	5.662
TNFSF9	5.301	4.139	4.383	3.778	4.204	6.412	4.297	3.280	3.217	2.911	3.815	4.284
TNKS	9.747	10.302	10.454	9.845	10.484	9.437	10.084	10.306	10.279	10.676	9.763	10.262
TP53	9.117	9.279	9.985	10.308	9.893	9.308	9.864	10.045	9.548	9.147	9.807	9.639
TPI1	12.270	12.712	12.725	12.633	12.226	11.955	11.982	11.575	12.431	12.614	12.792	12.319
TPM1	10.867	9.987	9.759	8.526	9.542	10.297	9.285	10.708	9.196	9.794	9.240	9.808
TPSAB1/B2	6.905	4.802	5.897	4.636	3.982	7.471	4.297	1.795	2.869	6.091	7.103	5.786
TRAF1	8.294	8.131	7.985	7.179	7.905	9.173	7.901	8.526	6.910	7.975	6.598	7.828
TRAT1	4.827	4.013	4.634	4.026	3.397	7.100	3.975	2.643	2.869	2.811	3.535	4.464
TREM1	7.149	7.485	6.365	5.585	5.719	7.124	6.248	4.602	5.559	7.633	5.086	7.063
TREM2	10.706	10.214	10.782	9.924	9.844	11.904	11.162	10.972	10.295	9.985	10.724	9.726
TRIM21	7.827	7.093	7.823	7.822	7.041	9.137	7.707	6.908	8.155	7.492	6.947	7.464
TSLP	5.242	5.508	5.035	3.685	4.719	6.049	4.197	3.560	3.869	5.070	5.428	3.836
TTC30A	6.924	7.734	7.408	7.153	7.328	6.886	8.059	7.899	7.236	7.694	7.386	8.056
TWF1	11.086	10.977	11.087	11.287	11.477	11.392	11.196	11.191	11.782	10.923	11.779	10.993
TWIST1	5.050	5.078	5.312	2.948	5.304	5.765	4.344	4.830	3.110	3.004	2.535	3.769
TWIST2	2.657	3.361	2.575	2.585	3.982	3.242	1.975	-0.527	2.217	2.004	1.728	0.962
TYMP	10.461	9.233	9.444	9.297	7.441	12.674	10.535	8.592	10.011	8.930	9.678	8.552
TYMS	8.797	8.898	9.785	10.034	9.673	9.765	9.777	9.091	7.629	7.697	11.119	8.735
UBA7	9.062	7.849	7.996	9.068	8.772	10.902	8.645	7.852	8.110	8.266	7.826	7.586
UBE2C	5.611	7.576	7.450	8.086	7.952	5.490	7.467	8.180	5.054	6.463	9.869	6.606
UBE2T	5.979	6.198	6.330	8.118	7.012	6.527	6.570	6.450	5.191	5.732	9.112	5.947
ULBP2	6.272	6.387	6.013	4.533	5.982	7.219	5.849	5.830	4.802	6.289	6.496	5.962
VCAM1	8.528	9.158	7.939	7.429	8.316	8.765	8.094	8.967	7.686	6.752	6.928	9.972
VCAN	11.947	12.260	11.603	12.108	12.175	11.075	11.718	11.681	12.155	10.810	10.706	11.164
VEGFA	12.357	14.225	13.774	9.247	12.814	11.073	11.663	8.531	11.288	11.594	11.619	12.112
VEGFB	10.654	10.759	10.404	10.976	9.811	10.798	10.203	10.035	9.766	10.721	11.011	10.358
VEGFC	6.745	5.724	5.772	6.286	6.097	6.914	6.062	5.145	4.658	5.308	5.120	6.962
VHL	8.100	8.282	8.224	8.262	8.452	8.857	7.743	8.110	8.204	8.280	8.421	7.924
VSIR	9.652	8.951	8.999	8.764	8.840	10.084	9.010	8.953	9.046	9.160	7.789	8.394
VTCN1	6.117	4.876	5.312	5.422	5.645	6.734	4.849	4.473	4.580	4.785	4.937	5.105
WDR76	5.979	7.078	6.945	7.212	7.255	6.914	6.657	5.813	6.096	6.520	8.368	6.877
WNT10A	5.050	4.641	5.160	3.478	5.097	6.412	3.638	2.932	3.410	5.048	8.761	4.464
WNT11	3.657	3.361	3.160	4.533	4.397	5.329	2.975	3.173	2.580	3.174	4.252	3.769
WNT2	5.412	4.139	4.575	4.585	5.397	5.827	3.297	3.643	3.658	4.361	3.635	4.901
WNT2B	7.272	7.912	7.391	6.886	7.441	8.471	6.118	6.932	7.340	6.880	6.313	7.343
WNT3A	4.465	3.724	2.312	3.100	3.397	5.997	1.975	2.932	3.217	2.174	1.313	2.962
WNT4	5.745	4.361	5.078	4.026	5.204	8.149	4.090	3.173	3.732	4.396	7.013	5.699
WNT5A	9.125	8.844	8.510	11.013	9.511	9.392	9.207	9.045	9.465	8.476	8.671	9.113
WNT5B	6.015	5.412	5.691	5.063	6.304	7.149	4.913	4.682	6.600	5.271	6.154	5.260
WNT7B	5.867	4.724	4.848	3.363	4.204	5.412	4.034	3.473	3.658	5.732	3.187	5.769
XCL1/2	3.242	4.139	3.990	3.585	3.982	6.827	4.599	3.173	2.995	3.396	3.898	2.184
ZAP70	5.943	5.763	5.605	4.026	4.204	8.137	5.171	4.280	4.964	4.252	4.120	5.158
ZC3H12A	7.358	6.531	6.383	6.187	6.351	8.049	6.975	5.228	6.619	5.935	5.857	5.932
ZEB1	10.685	11.215	11.096	10.888	11.132	8.789	10.221	11.392	10.595	11.094	10.076	11.024
ZEB2	12.308	11.505	11.615	10.677	11.140	11.539	12.004	12.530	10.767	11.801	12.493	11.996
